Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TESTsuite32,Chrome 67.0.3396.99,,2018-07-26 12:57:08,2018-07-26 12:57:36,27.838s,PASSED
,,,,,,
Test Cases/DAY3/Test32,Chrome 67.0.3396.99,,2018-07-26 12:57:08,2018-07-26 12:57:36,27.546s,PASSED
openBrowser,Chrome 67.0.3396.99,,2018-07-26 12:57:08,2018-07-26 12:57:32,23.816s,PASSED
navigateToUrl,Chrome 67.0.3396.99,,2018-07-26 12:57:32,2018-07-26 12:57:33,0.728s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:57:33,2018-07-26 12:57:34,0.826s,PASSED
setText,Chrome 67.0.3396.99,,2018-07-26 12:57:34,2018-07-26 12:57:34,0.122s,PASSED
setEncryptedText,Chrome 67.0.3396.99,,2018-07-26 12:57:34,2018-07-26 12:57:34,0.332s,PASSED
click,Chrome 67.0.3396.99,,2018-07-26 12:57:34,2018-07-26 12:57:35,0.877s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-07-26 12:57:35,2018-07-26 12:57:36,0.605s,PASSED
